parameter_id,parameter,value,unit,source_name,source_version,source_url,evidence_basis,calibration_status,notes
SYN_001,synthea_supports_fhir_r4,1,boolean,Synthea GitHub,current checked 2026-07-05,https://github.com/synthetichealth/synthea,official repository metadata,verified_public_metadata,Repository states Synthea outputs HL7 FHIR R4 among other formats.
SYN_002,synthea_local_generation_executed,0,boolean,Synthea GitHub,current checked 2026-07-05,https://github.com/synthetichealth/synthea,container execution audit,not_executed,No direct network access from the execution container; generator not downloaded or run in workload-calibration workstream.
BIG_001,bigideas_version,1.1.3,version,BIG IDEAs PhysioNet,1.1.3,https://physionet.org/content/big-ideas-glycemic-wearable/1.1.3/,official PhysioNet page,verified_public_metadata,Version 1.1.3 published April 13 2026.
BIG_002,bigideas_participants,16,count,BIG IDEAs PhysioNet,1.1.3,https://physionet.org/content/big-ideas-glycemic-wearable/1.1.3/,official PhysioNet data description,verified_public_metadata,Study participants n=16.
BIG_003,bigideas_monitoring_days_max,10,days,BIG IDEAs PhysioNet,1.1.3,https://physionet.org/content/big-ideas-glycemic-wearable/1.1.3/,official PhysioNet data description,verified_public_metadata,Participants monitored for 8-10 days; scenario uses 10 days as the upper documented monitoring duration.
BIG_004,bigideas_cgm_interval_minutes,5,minutes,BIG IDEAs PhysioNet,1.1.3,https://physionet.org/content/big-ideas-glycemic-wearable/1.1.3/,official PhysioNet data description,verified_public_metadata,Dexcom G6 interstitial glucose recorded every 5 min.
BIG_005,bigideas_feature_count,7,count,BIG IDEAs PhysioNet,1.1.3,https://physionet.org/content/big-ideas-glycemic-wearable/1.1.3/,official PhysioNet data description,verified_public_metadata,"Seven wearable/CGM feature files are listed, excluding food log."
BIG_006,bigideas_total_uncompressed_gb,34.1,GB,BIG IDEAs PhysioNet,1.1.3,https://physionet.org/content/big-ideas-glycemic-wearable/1.1.3/,official PhysioNet file manifest,verified_public_metadata,Full dataset not redistributed; total uncompressed size 34.1 GB.
BIG_007,bigideas_zip_gb,4.7,GB,BIG IDEAs PhysioNet,1.1.3,https://physionet.org/content/big-ideas-glycemic-wearable/1.1.3/,official PhysioNet file manifest,verified_public_metadata,Full ZIP exceeds lightweight repository/deposit target.
MIMICD_001,mimic_demo_version,2.1.0,version,MIMIC-IV Clinical Database Demo on FHIR,2.1.0,https://physionet.org/content/mimic-iv-fhir-demo/2.1.0/,official PhysioNet page,verified_public_metadata,Version 2.1.0 published August 27 2025.
MIMICD_002,mimic_demo_patients,100,count,MIMIC-IV Clinical Database Demo on FHIR,2.1.0,https://physionet.org/content/mimic-iv-fhir-demo/2.1.0/,official README/data description,verified_public_metadata,Dataset is a 100-patient subset.
MIMICD_003,mimic_demo_resource_profile_files,30,count,MIMIC-IV Clinical Database Demo on FHIR,2.1.0,https://physionet.org/content/mimic-iv-fhir-demo/2.1.0/SHA256SUMS.txt,official SHA256/file listing,verified_public_metadata,Thirty compressed NDJSON resource-profile files listed.
MIMICD_004,mimic_demo_observation_profile_files,9,count,MIMIC-IV Clinical Database Demo on FHIR,2.1.0,https://physionet.org/content/mimic-iv-fhir-demo/2.1.0/fhir/,official file listing,verified_public_metadata,Nine observation-family NDJSON files listed.
MIMICD_005,mimic_demo_uncompressed_mb,49.5,MB,MIMIC-IV Clinical Database Demo on FHIR,2.1.0,https://physionet.org/content/mimic-iv-fhir-demo/2.1.0/,official PhysioNet file manifest,verified_public_metadata,Open-access demo is small enough for local extraction outside this runtime.
MIMICF_001,mimic_full_access_policy,credentialed_DUA_required,text,MIMIC-IV on FHIR,2.1,https://physionet.org/content/mimic-iv-fhir/2.1/,official PhysioNet page,verified_public_metadata,"Full MIMIC-IV on FHIR requires credentialing, DUA and CITI training."
MODEL_001,c1_routine_events_per_patient_day,24,count_per_patient_day,TrustEvidence workload-calibration workstream model,0.4.0,metadata/VERIFIED_PUBLIC_SOURCE_PARAMETERS.csv,modelling assumption,assumed_internal,One hourly TrustEvidence object per synthetic ambulatory patient-day.
MODEL_002,c3_heterogeneity_events_per_patient_profile,1,count_per_patient_profile,TrustEvidence workload-calibration workstream model,0.4.0,metadata/VERIFIED_PUBLIC_SOURCE_PARAMETERS.csv,modelling assumption,assumed_internal,One TrustEvidence object per patient-resource-profile pairing for heterogeneity stress.
MODEL_003,c4_dispute_anchor_multiplier,1.1,multiplier,TrustEvidence workload-calibration workstream model,0.4.0,metadata/VERIFIED_PUBLIC_SOURCE_PARAMETERS.csv,modelling assumption,assumed_internal,Adds 10% governance/dispute anchors to the C2 CGM event count.
COMP_001,bigideas_cgm_observations_per_patient_day,288,count_per_patient_day,computed_from_BIG_004,1.1.3,https://physionet.org/content/big-ideas-glycemic-wearable/1.1.3/,24*60/cgm_interval_minutes,computed_from_verified_metadata,
COMP_002,c2_planned_evidence_events,46080,events,computed_from_BIG_002_BIG_003_BIG_004,1.1.3,https://physionet.org/content/big-ideas-glycemic-wearable/1.1.3/,participants*days*obs_per_patient_day,computed_from_verified_metadata,
COMP_003,c3_planned_profile_pairing_events,3000,events,computed_from_MIMICD_002_MIMICD_003,2.1.0,https://physionet.org/content/mimic-iv-fhir-demo/2.1.0/,patients*resource_profile_file_count,computed_from_verified_metadata_with_assumption,"Proxy for heterogeneity stress, not actual record count."
