cq_id,scenario_id,event_type,answer_location,required_fields,positive_fixture,negative_fixture,expected_result,observed_result,error_code,verification_status,notes
CQ-A01,"POS-ENV-ACCESS,POS-ENV-FAILURE",A,E,"event_id, event_type","POS-ENV-ACCESS,POS-ENV-FAILURE","NEG-001,NEG-002,NEG-008,NEG-019,NEG-027",Event ID/type preserved in every positive fixture,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-A02,"POS-ENV-ACCESS,POS-ENV-FAILURE",A,E,"evidence_id, profile, envelope_version","POS-ENV-ACCESS,POS-ENV-FAILURE","NEG-001,NEG-002,NEG-008,NEG-019,NEG-027",Unique evidence ID and version validation,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-A03,"POS-ENV-ACCESS,POS-ENV-FAILURE",A,E,occurred_at,"POS-ENV-ACCESS,POS-ENV-FAILURE","NEG-001,NEG-002,NEG-008,NEG-019,NEG-027",Offset-to-UTC and malformed timestamp cases,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-A04,"POS-ENV-ACCESS,POS-ENV-FAILURE",A,E,emitted_at,"POS-ENV-ACCESS,POS-ENV-FAILURE","NEG-001,NEG-002,NEG-008,NEG-019,NEG-027",Temporal-order and skew-bound checks,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-A05,"POS-ENV-ACCESS,POS-ENV-FAILURE",A,E,"time_source.source_id, precision_ms, max_skew_ms","POS-ENV-ACCESS,POS-ENV-FAILURE","NEG-001,NEG-002,NEG-008,NEG-019,NEG-027",Missing/negative/excessive value rejection,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-A06,"POS-ENV-ACCESS,POS-ENV-FAILURE",A,E/X,"emitter.emitter_id, emitter.role_code, emitter.key_id; key registry","POS-ENV-ACCESS,POS-ENV-FAILURE","NEG-001,NEG-002,NEG-008,NEG-019,NEG-027",Registered/unknown key tests,Key identifier and signature shape verified; registry lookup and cryptographic verification are evaluated in the receipt layer,PARTIAL,partially-verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-A07,"POS-ENV-ACCESS,POS-ENV-FAILURE",A,E,"actor.actor_ref_token, actor.actor_type, actor.role_code, optional organisation token","POS-ENV-ACCESS,POS-ENV-FAILURE","NEG-001,NEG-002,NEG-008,NEG-019,NEG-027",Actor absent from access/disclosure fixture rejects,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-A08,"POS-ENV-ACCESS,POS-ENV-FAILURE",A,E,Distinct actor and emitter objects,"POS-ENV-ACCESS,POS-ENV-FAILURE","NEG-001,NEG-002,NEG-008,NEG-019,NEG-027",Conflated/omitted actor negative case,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-A09,"POS-ENV-ACCESS,POS-ENV-FAILURE",A,E,"subject_context.status, token and token system when applicable","POS-ENV-ACCESS,POS-ENV-FAILURE","NEG-001,NEG-002,NEG-008,NEG-019,NEG-027",Missing token for subject-scoped event rejects,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
CQ-A10,"POS-ENV-ACCESS,POS-ENV-FAILURE",A,E,subject_context.status = not-applicable plus reason code,"POS-ENV-ACCESS,POS-ENV-FAILURE","NEG-001,NEG-002,NEG-008,NEG-019,NEG-027",Ambiguous missing subject context rejects,Positive representation and relevant structural/semantic negative controls passed,PASS,verified-schema-layer,Traceability is complete; deferred cryptographic/workload/reproducibility evidence is not claimed as executed.
