layer,existing_capability,route_c_use,route_c_profile_decision,explicit_nonclaim,evidence_required,status
"FHIR R4 AuditEvent","Records security- and privacy-relevant events with agents purposes policies outcomes sources and entities","Structured projection of the disclosure or access event","Profile the minimum actors source recipient purpose outcome Consent and versioned target semantics required by the frozen hero case","TrustEvidence is not a new AuditEvent resource and does not make FHIR audit logs complete","C3 positive and negative examples; SUSHI; IG Publisher; HL7 Validator; mapping audit",PLANNED-C3
"FHIR R4 Provenance","Records activities agents entities and version-specific targets involved in producing revising signing importing or transforming a resource","Represents source-to-portable-evidence transformation and referenced clinical-resource version","Use Provenance only for origin and transformation semantics; do not substitute it for an access AuditEvent or issuer signature","Provenance metadata does not by itself prove the truth of the source clinical event","C3 profile and examples; version-reference tests; semantic round trip",PLANNED-C3
"FHIR R4 Consent","Represents consumer choices permissions denials recipients purposes periods policy context and partial derivatives of a source directive","Provides the versioned Consent resource or reference against which the event-time decision is described","Keep Consent state policy and authorisation outcome distinct; transport only the minimum authorised derivative or reference","A Consent status is not automatically an access-control decision and no legal-validity claim is made","C3 consent instance; mapping tests; consent-version mutation in C4",PLANNED-C3-C4
"IHE BALP 1.1.4","Defines reusable FHIR R4 AuditEvent patterns for REST activities token use consent-authorised decisions and privacy disclosures","Provides the closest published pattern for the FHIR-facing disclosure event","Derive from or validate against only the profiles actually applicable to the frozen case; otherwise publish an explicit mapping matrix","No IHE certification and no BALP conformance wording until the exact examples pass the declared package and validator toolchain","C3 package-pinned validation and profile-combination report",PLANNED-C3
"JSON Canonicalization Scheme RFC 8785","Defines deterministic JSON canonicalisation","Canonicalises the TrustEvidence payload before issuer signing","Use the installed RFC 8785 implementation under a declared application profile and reject unsupported values before signing","TrustEvidence does not define a new canonicalisation algorithm","Existing C1 tests plus C4 vectors and release-candidate rerun",BASELINE-EXECUTED-RERUN-REQUIRED
"Ed25519 issuer signature","Provides digital-signature authenticity and integrity for exact bytes under a trusted public key","Authenticates the canonical TrustEvidence envelope in the reference implementation","Keep issuer-key role separate from backend-key role and verify the declared profile before accepting the statement","A valid signature does not prove clinical truth identity proofing legal non-repudiation or complete event capture","Existing C1 tests plus C4 substitution and key-role mutations",BASELINE-EXECUTED-RERUN-REQUIRED
"Nonce-based SHA-256 payload commitment","Binds concealed bytes when the verifier possesses the nonce and candidate payload","Commits to the source clinical payload without placing clinical values in the portable envelope","Declare exact input framing algorithm and nonce handling; keep the nonce outside the public envelope","Hashing is not encryption and a low-entropy input without an undisclosed nonce can leak information","Existing C1 tests plus C4 payload and nonce mutations and C3 payload-exclusion scan",BASELINE-EXECUTED-RERUN-REQUIRED
"RFC 9162 Merkle algorithms","Defines Certificate Transparency Merkle inclusion and consistency algorithms","Provides algorithmic lineage for local tree and proof reasoning where the implementation matches the cited operation","Document every local deviation and label the output project-specific","The local A2 object is not a Certificate Transparency log or a universally witnessed service","C4 vector-level implementation audit and mutations",PLANNED-C4
"SCITT RFC 9943","Defines generic roles and architecture for single-issuer signed-statement transparency","Used only as a direct comparator and future interoperability direction","Keep the Route C envelope and local backend terminology separate from SCITT media types and conformance language","No SCITT implementation or conformance claim in Route C","Literature and novelty audit only",NOT-IMPLEMENTED
"COSE Receipts RFC 9942","Defines COSE_Sign1 receipts carrying verifiable-data-structure proofs including RFC9162_SHA256 inclusion and consistency","Used only to delimit what a standards-conformant receipt would require","Call the current object a project-specific local A2 Merkle receipt; do not use the RFC media type or protected-header semantics","No RFC 9942 implementation or conformance claim in Route C","Literature and novelty audit only",NOT-IMPLEMENTED
"TrustEvidence semantic boundary","No single cited standard prescribes the complete Route C portable referenced committed excluded decision for the frozen healthcare dispute","Defines the facts selected before the FHIR and cryptographic layers are applied","Tie every field to an accountability question and lower-exposure alternative; remove fields that do not survive necessity and privacy tests","No universal field set or mature healthcare standard is claimed","C3 hero case; field classification; field deletion; payload scan; reviewer traceability",PLANNED-C3
"TrustEvidence FHIR projection","No single cited profile establishes the exact one-to-one relationship between the Route C envelope and the selected FHIR artefacts","Makes the envelope inspectable in established healthcare structures while preserving exact signed bytes","Maintain one mapping registry and test semantic round trip separately from byte preservation","FHIR serialisation is not the signed source of truth and validation does not prove clinical validity","C3 mapping registry official validators round trip and Binary byte preservation",PLANNED-C3
"TrustEvidence local A2","The existing project backend appends envelope commitments and returns a signed JSON receipt with proof material","Supplies bounded local backend evidence for mutation and cost experiments","Verify candidate entry proof root backend signature and prior checkpoint under one declared policy","Not a public transparency service not a COSE Receipt not complete not production persistent","C4 mutation corpus and C5 local B2 measurement",BASELINE-EXECUTED-RERUN-REQUIRED
