run_id,case_id,case_class,mutation_class,target_path,signing_state,expected_outcome,observed_outcome,expected_error_code_or_pass,primary_error_code,observed_error_codes,passed,notes
route-c-hie-security-001,COMMIT-001,payload-commitment-control,positive-candidate,$authorised_source_bytes,not-applicable,accepted,accepted,PASS,PASS,,true,Exact canonical source bytes and deterministic test nonce reproduce the declared commitment
route-c-hie-security-001,COMMIT-002,payload-commitment-control,payload-byte,$authorised_source_bytes,not-applicable,rejected,rejected,TE-E-PAYLOAD-COMMITMENT,TE-E-PAYLOAD-COMMITMENT,TE-E-PAYLOAD-COMMITMENT,true,One added payload byte changes the commitment
route-c-hie-security-001,COMMIT-003,payload-commitment-control,representation-bytes,$authorised_source_serialisation,not-applicable,rejected,rejected,TE-E-PAYLOAD-COMMITMENT,TE-E-PAYLOAD-COMMITMENT,TE-E-PAYLOAD-COMMITMENT,true,A different JSON serialisation of the source is not interchangeable with the committed canonical bytes
route-c-hie-security-001,COMMIT-004,payload-commitment-control,nonce,$authorised_nonce,not-applicable,rejected,rejected,TE-E-PAYLOAD-COMMITMENT,TE-E-PAYLOAD-COMMITMENT,TE-E-PAYLOAD-COMMITMENT,true,Changed nonce is rejected
route-c-hie-security-001,COMMIT-005,payload-commitment-control,representation-profile,$commitment.representation_profile,not-applicable,rejected,rejected,TE-E-PAYLOAD-COMMITMENT,TE-E-PAYLOAD-COMMITMENT,TE-E-PAYLOAD-COMMITMENT,true,Representation-profile substitution changes the framed commitment
route-c-hie-security-001,COMMIT-006,payload-commitment-control,commitment-context,$commitment.commitment_context,not-applicable,rejected,rejected,TE-E-PAYLOAD-COMMITMENT,TE-E-PAYLOAD-COMMITMENT,TE-E-PAYLOAD-COMMITMENT,true,Commitment-context substitution changes the framed commitment
route-c-hie-security-001,COMMIT-007,payload-commitment-control,short-nonce,$authorised_nonce,not-applicable,rejected,rejected,TE-E-PAYLOAD-COMMITMENT,TE-E-PAYLOAD-COMMITMENT,TE-E-PAYLOAD-COMMITMENT,true,Nonce shorter than 128 bits raises a validation error
route-c-hie-security-001,COMMIT-008,payload-custody-control,portable-nonce-disclosure,$.signed_envelope and $.portable_bundle,not-applicable,absent,absent,PASS,PASS,,true,The deterministic test nonce is absent from portable artefacts but retained separately for reproducibility
route-c-hie-security-001,COMMIT-009,payload-custody-control,clinical-source-marker-disclosure,$.signed_envelope and $.portable_bundle,not-applicable,absent,absent,PASS,PASS,,true,Declared source-clinical markers are absent from the inspected portable artefacts
route-c-hie-security-001,CORE-001,signed-core-mutation,actor-token,$.evidence_core.actor.actor_ref_token,stale-issuer-signature,rejected,rejected,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE;TE-E-RECEIPT-BINDING,true,Actor-token substitution with stale issuer signature
route-c-hie-security-001,CORE-002,signed-core-mutation,actor-organisation,$.evidence_core.actor.organisation_ref_token,stale-issuer-signature,rejected,rejected,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE;TE-E-RECEIPT-BINDING,true,Actor organisation substitution
route-c-hie-security-001,CORE-003,signed-core-mutation,actor-role,$.evidence_core.actor.role_code,stale-issuer-signature,rejected,rejected,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE;TE-E-RECEIPT-BINDING,true,Admitted role-code substitution
route-c-hie-security-001,CORE-004,signed-core-mutation,emitter-organisation,$.evidence_core.emitter.organisation_ref_token,stale-issuer-signature,rejected,rejected,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE;TE-E-RECEIPT-BINDING,true,Emitter organisation substitution
route-c-hie-security-001,CORE-005,signed-core-mutation,consent-version,$.evidence_core.consent_binding and objects[consent],stale-issuer-signature,rejected,rejected,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE;TE-E-RECEIPT-BINDING,true,Coherent Consent-version substitution
route-c-hie-security-001,CORE-006,signed-core-mutation,consent-state,$.evidence_core.consent_binding.consent_state,stale-issuer-signature,rejected,rejected,TE-E-CONSENT-STATE,TE-E-CONSENT-STATE,TE-E-CONSENT-STATE,true,HIE profile rejects a non-active Consent state before signature interpretation
route-c-hie-security-001,CORE-007,signed-core-mutation,policy-version,$.evidence_core.policy_binding and objects[policy],stale-issuer-signature,rejected,rejected,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE;TE-E-RECEIPT-BINDING,true,Coherent policy-version substitution
route-c-hie-security-001,CORE-008,signed-core-mutation,policy-digest,$.evidence_core.policy_binding.policy_digest,stale-issuer-signature,rejected,rejected,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE;TE-E-RECEIPT-BINDING,true,Policy digest substitution
route-c-hie-security-001,CORE-009,signed-core-mutation,decision-reference,$.evidence_core.objects[decision].object_ref_token,stale-issuer-signature,rejected,rejected,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE;TE-E-RECEIPT-BINDING,true,Authorisation-decision substitution
route-c-hie-security-001,CORE-010,signed-core-mutation,outcome-reason,$.evidence_core.outcome.reason_code,stale-issuer-signature,rejected,rejected,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE;TE-E-RECEIPT-BINDING,true,Outcome-reason substitution
route-c-hie-security-001,CORE-011,signed-core-mutation,resource-reference-version,$.evidence_core.objects[target],stale-issuer-signature,rejected,rejected,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE;TE-E-RECEIPT-BINDING,true,DiagnosticReport reference and version substitution
route-c-hie-security-001,CORE-012,signed-core-mutation,provenance-reference,$.evidence_core.objects[provenance].object_ref_token,stale-issuer-signature,rejected,rejected,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE;TE-E-RECEIPT-BINDING,true,Provenance reference substitution
route-c-hie-security-001,CORE-013,signed-core-mutation,recipient-organisation,$.evidence_core.event_facts.recipient_ref_token,stale-issuer-signature,rejected,rejected,TE-E-SCHEMA-VALUE,TE-E-SCHEMA-VALUE,TE-E-SCHEMA-VALUE,true,Frozen hero-case recipient substitution is rejected semantically
route-c-hie-security-001,CORE-014,signed-core-mutation,purpose,$.evidence_core.purpose_code,stale-issuer-signature,rejected,rejected,TE-E-SCHEMA-VALUE,TE-E-SCHEMA-VALUE,TE-E-SCHEMA-VALUE,true,Frozen hero-case purpose substitution is rejected structurally
route-c-hie-security-001,CORE-015,signed-core-mutation,unknown-critical-field,$.evidence_core.critical_extension,stale-issuer-signature,rejected,rejected,TE-E-SCHEMA-ADDITIONAL,TE-E-SCHEMA-ADDITIONAL,TE-E-SCHEMA-ADDITIONAL,true,Closed schema rejects an unknown critical field
route-c-hie-security-001,CORE-016,signed-core-mutation,issuer-signature-bytes,$.evidence_core.emitter_signature.signature,stale-issuer-signature,rejected,rejected,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE,true,One-bit issuer-signature mutation
route-c-hie-security-001,CORE-017,signed-core-mutation,unknown-issuer-key,$.evidence_core.emitter.key_id,stale-issuer-signature,rejected,rejected,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE;TE-E-RECEIPT-BINDING,true,Unknown issuer key identifier
route-c-hie-security-001,CORE-018,signed-core-mutation,missing-issuer-signature,$.evidence_core.emitter_signature,stale-issuer-signature,rejected,rejected,TE-E-SCHEMA-REQUIRED,TE-E-SCHEMA-REQUIRED,TE-E-SCHEMA-REQUIRED,true,Required issuer signature removed
route-c-hie-security-001,CORE-019,trust-registry-control,wrong-issuer-key-material,$emitter_key_registry,valid-signature-wrong-verification-key,rejected,rejected,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE,TE-E-CORE-SIGNATURE,true,Correct key identifier mapped to unrelated public-key material
route-c-hie-security-001,LIM-BACKEND-001,limitation-observation,stateless-split-view,$retained_checkpoint,valid-backend-signature-no-retained-state,accepted,accepted,PASS,PASS,,true,Without retained state or external witnessing a coherent alternative tree is not distinguishable
route-c-hie-security-001,LIM-BACKEND-002,limitation-observation,validly-signed-alternative-tree-size,$.backend_receipt.tree_size and inclusion_proof.tree_size,receipt-re-signed-with-authorised-test-key,accepted,accepted,PASS,PASS,,true,An authorised backend can sign an alternative internally admissible tree-size statement; the receipt does not prove actual log population or completeness
route-c-hie-security-001,LIM-ISSUER-001,limitation-observation,authorised-actor-substitution,$.evidence_core,core-and-receipt-validly-reissued-with-test-keys,accepted,accepted,PASS,PASS,,true,An authorised/compromised issuer can sign a different schema-valid actor assertion
route-c-hie-security-001,LIM-ISSUER-002,limitation-observation,authorised-consent-version,$.evidence_core,core-and-receipt-validly-reissued-with-test-keys,accepted,accepted,PASS,PASS,,true,A valid signature does not independently establish the truth of the asserted Consent version
route-c-hie-security-001,LIM-ISSUER-003,limitation-observation,authorised-policy-version,$.evidence_core,core-and-receipt-validly-reissued-with-test-keys,accepted,accepted,PASS,PASS,,true,A valid signature does not independently establish policy truth
route-c-hie-security-001,LIM-REPLAY-001,limitation-observation,exact-receipt-replay,$retained_checkpoint,valid-signatures,accepted,accepted,PASS,PASS,,true,Exact same-state replay is accepted; freshness and duplicate suppression are higher-layer controls; state_changed=false
route-c-hie-security-001,POS-HIE-001,positive-control,none,$,valid-signatures,accepted,accepted,PASS,PASS,,true,Retained single-leaf HIE envelope and receipt
route-c-hie-security-001,POS-HIE-002,positive-control,multi-leaf-receipt,$.backend_receipt.inclusion_proof,valid-signatures,accepted,accepted,PASS,PASS,,true,Six-leaf reference tree provides a non-empty inclusion path
route-c-hie-security-001,RCP-001,receipt-mutation,core-digest,$.backend_receipt.core_digest,stale-receipt-signature,rejected,rejected,TE-E-RECEIPT-SIGNATURE,TE-E-RECEIPT-SIGNATURE,TE-E-RECEIPT-SIGNATURE;TE-E-RECEIPT-BINDING;TE-E-LEAF-BINDING,true,Stale receipt signature after core-digest mutation
route-c-hie-security-001,RCP-002,receipt-mutation,leaf-hash,$.backend_receipt.leaf_hash,stale-receipt-signature,rejected,rejected,TE-E-RECEIPT-SIGNATURE,TE-E-RECEIPT-SIGNATURE,TE-E-RECEIPT-SIGNATURE;TE-E-LEAF-BINDING;TE-E-PROOF-PATH,true,Stale receipt signature after leaf-hash mutation
route-c-hie-security-001,RCP-003,receipt-mutation,proof-sibling,$.backend_receipt.inclusion_proof.siblings[0],stale-receipt-signature,rejected,rejected,TE-E-RECEIPT-SIGNATURE,TE-E-RECEIPT-SIGNATURE,TE-E-RECEIPT-SIGNATURE;TE-E-PROOF-DIGEST;TE-E-PROOF-PATH,true,Stale receipt signature after proof mutation
route-c-hie-security-001,RCP-004,receipt-mutation,root,$.backend_receipt.root_digest,stale-receipt-signature,rejected,rejected,TE-E-RECEIPT-SIGNATURE,TE-E-RECEIPT-SIGNATURE,TE-E-RECEIPT-SIGNATURE;TE-E-PROOF-PATH,true,Stale receipt signature after root mutation
route-c-hie-security-001,RCP-005,receipt-mutation,leaf-index-receipt-only,$.backend_receipt.leaf_index,stale-receipt-signature,rejected,rejected,TE-E-PROOF-INDEX,TE-E-RECEIPT-SIGNATURE,TE-E-RECEIPT-SIGNATURE;TE-E-PROOF-INDEX;TE-E-PROOF-PATH,true,Receipt/proof leaf-index mismatch
route-c-hie-security-001,RCP-006,receipt-mutation,tree-size-receipt-only,$.backend_receipt.tree_size,stale-receipt-signature,rejected,rejected,TE-E-PROOF-SIZE,TE-E-RECEIPT-SIGNATURE,TE-E-RECEIPT-SIGNATURE;TE-E-PROOF-SIZE,true,Receipt/proof tree-size mismatch
route-c-hie-security-001,RCP-007,receipt-mutation,proof-digest,$.backend_receipt.inclusion_proof_digest,stale-receipt-signature,rejected,rejected,TE-E-PROOF-DIGEST,TE-E-RECEIPT-SIGNATURE,TE-E-RECEIPT-SIGNATURE;TE-E-PROOF-DIGEST,true,Proof-digest mismatch is detected independently
