property_id,property,backend,adversary,status,rationale
TEA.P1,tamper_evidence,BE-A1,ADV-1,holds-under-assumption,"Commitment, canonicalisation and backend-preservation assumptions apply."
TEA.P1,tamper_evidence,BE-A1,ADV-2,fails,No independent tamper-evidence against administrative/maintainer control.
TEA.P1,tamper_evidence,BE-A1,ADV-3,fails,No independent tamper-evidence against administrative/maintainer control.
TEA.P1,tamper_evidence,BE-A1,ADV-4,fails,No independent tamper-evidence against administrative/maintainer control.
TEA.P1,tamper_evidence,BE-A1,ADV-5,fails,No independent tamper-evidence against administrative/maintainer control.
TEA.P1,tamper_evidence,BE-A2,ADV-1,holds-under-assumption,"Commitment, canonicalisation and backend-preservation assumptions apply."
TEA.P1,tamper_evidence,BE-A2,ADV-2,holds-under-assumption,"Commitment, canonicalisation and backend-preservation assumptions apply."
TEA.P1,tamper_evidence,BE-A2,ADV-3,holds-under-assumption,"Commitment, canonicalisation and backend-preservation assumptions apply."
TEA.P1,tamper_evidence,BE-A2,ADV-4,holds-under-assumption,"Commitment, canonicalisation and backend-preservation assumptions apply."
TEA.P1,tamper_evidence,BE-A2,ADV-5,holds-under-assumption,"Commitment, canonicalisation and backend-preservation assumptions apply."
TEA.P1,tamper_evidence,BE-A3,ADV-1,holds-under-assumption,"Commitment, canonicalisation and backend-preservation assumptions apply."
TEA.P1,tamper_evidence,BE-A3,ADV-2,holds-under-assumption,"Commitment, canonicalisation and backend-preservation assumptions apply."
TEA.P1,tamper_evidence,BE-A3,ADV-3,holds-under-assumption,"Commitment, canonicalisation and backend-preservation assumptions apply."
TEA.P1,tamper_evidence,BE-A3,ADV-4,holds-under-assumption,"Commitment, canonicalisation and backend-preservation assumptions apply."
TEA.P1,tamper_evidence,BE-A3,ADV-5,holds-under-assumption,"Commitment, canonicalisation and backend-preservation assumptions apply."
TEA.P2,append_only_consistency,BE-A1,ADV-1,fails,Central audit has no append-only consistency proof in the abstraction.
TEA.P2,append_only_consistency,BE-A1,ADV-2,fails,Central audit has no append-only consistency proof in the abstraction.
TEA.P2,append_only_consistency,BE-A1,ADV-3,fails,Central audit has no append-only consistency proof in the abstraction.
TEA.P2,append_only_consistency,BE-A1,ADV-4,fails,Central audit has no append-only consistency proof in the abstraction.
TEA.P2,append_only_consistency,BE-A1,ADV-5,fails,Central audit has no append-only consistency proof in the abstraction.
TEA.P2,append_only_consistency,BE-A2,ADV-1,holds-under-assumption,Checkpoint/finality and verifier-state assumptions apply.
TEA.P2,append_only_consistency,BE-A2,ADV-2,holds-under-assumption,Checkpoint/finality and verifier-state assumptions apply.
TEA.P2,append_only_consistency,BE-A2,ADV-3,holds-under-assumption,Checkpoint/finality and verifier-state assumptions apply.
TEA.P2,append_only_consistency,BE-A2,ADV-4,holds-under-assumption,Checkpoint/finality and verifier-state assumptions apply.
TEA.P2,append_only_consistency,BE-A2,ADV-5,holds-under-assumption,Checkpoint/finality and verifier-state assumptions apply.
TEA.P2,append_only_consistency,BE-A3,ADV-1,holds-under-assumption,Checkpoint/finality and verifier-state assumptions apply.
