parameter,value,parameter_class,source_or_rationale,use_in_model,methodological_rationale
cgm_sampling_interval_minutes,5.0,observed/public dataset characteristic,BIG IDEAs / Dexcom G6 documentation,Calibrates latent CGM workload density.,Publicly documented CGM sampling interval used only to calibrate latent measurement density.
latent_cgm_samples_per_patient_day,288.0,derived,24*60/5,Documents the raw sampling density before aggregation.,Mathematical derivation from 24 hours and 5-minute sampling; not stored as evidence objects.
aggregation_window_hours,1.0,design assumption,Architectural minimisation principle,Converts high-frequency samples to 24 conceptual observations per patient-day.,Design choice to prevent high-frequency payload streams from becoming high-frequency evidence.
aggregated_observations_per_patient_day,24.0,derived,24 hours / 1-hour aggregation,Used in workload and payload calculation.,Derived from hourly aggregation; used for conceptual observation count.
patients_per_scenario,1000.0,scenario-based,Comparative simulation scaling assumption,Scales workloads for all scenarios.,Stress-test scale for comparative architecture behaviour; not a real cohort size.
simulation_horizon_days,10.0,scenario-based,Common horizon for all scenarios,Controls daily anchors and provenance counts.,Short monitoring episode chosen for interpretability and stable comparison.
monte_carlo_replications,1000.0,methodological setting,Reproducibility protocol,Generates uncertainty intervals for stochastic event counts.,Repetition count chosen to produce stable uncertainty intervals for stochastic access and revocation events.
random_seed,20260526.0,methodological setting,Reproducibility protocol,Ensures deterministic pseudo-random outputs.,Fixed to make stochastic outputs exactly reproducible.
payload_reference_mb,360.0,model assumption,Proxy payload volume for evidence-to-payload percentage,Denominator for evidence/payload ratio.,Proxy denominator for evidence-to-payload ratio; not an observed payload size.
trust_evidence_a1_classical_bytes,734.0,model assumption,Compact evidence object size,Storage calculation for central audit architecture.,Model parameter used to compare architectures; classified explicitly to avoid treating it as an empirical clinical estimate.
trust_evidence_a2_classical_bytes,872.0,model assumption,Classical evidence plus hash-chain overhead,Storage calculation for append-only hash log.,Model parameter used to compare architectures; classified explicitly to avoid treating it as an empirical clinical estimate.
trust_evidence_a3_classical_bytes_per_org,896.0,model assumption,Classical evidence plus ledger-like overhead per organisation,Storage calculation for ledger-like architecture.,Model parameter used to compare architectures; classified explicitly to avoid treating it as an empirical clinical estimate.
trust_evidence_a1_mldsa44_bytes,3061.0,standards-informed model assumption,ML-DSA-44-sized signature profile informed by NIST FIPS 204,Storage calculation for crypto-agility scenario.,Model parameter used to compare architectures; classified explicitly to avoid treating it as an empirical clinical estimate.
trust_evidence_a2_mldsa44_bytes,3312.0,standards-informed model assumption,ML-DSA-44-sized signature profile plus hash-log overhead,Storage calculation for crypto-agility scenario.,Model parameter used to compare architectures; classified explicitly to avoid treating it as an empirical clinical estimate.
trust_evidence_a3_mldsa44_bytes_per_org,3220.0,standards-informed model assumption,ML-DSA-44-sized signature profile plus ledger-like overhead per organisation,Storage calculation for crypto-agility scenario.,Model parameter used to compare architectures; classified explicitly to avoid treating it as an empirical clinical estimate.
verification_factor_a1,5.18,model assumption,Normalised audit-verification effort,Transforms access events into verification units.,Model parameter used to compare architectures; classified explicitly to avoid treating it as an empirical clinical estimate.
verification_factor_a2,7.18,model assumption,Normalised hash-log verification effort,Transforms access events into verification units.,Model parameter used to compare architectures; classified explicitly to avoid treating it as an empirical clinical estimate.
verification_factor_a3,8.68,model assumption,Normalised ledger-like verification effort,Transforms access events into verification units.,Model parameter used to compare architectures; classified explicitly to avoid treating it as an empirical clinical estimate.
write_cost_factor_a1,1.00,model assumption,Normalised single write per evidence object for central audit storage.,Transforms evidence objects into normalised write-cost units for A1.,"The factor provides a transparent baseline for comparing write amplification across evidence-storage backends. It is not a latency, throughput, CPU or database benchmark."
write_cost_factor_a2,1.18,model assumption,Normalised write overhead for append-only hash/log linking.,Transforms evidence objects into normalised write-cost units for A2.,The factor represents a declared hash-linking overhead relative to central audit writes. It should be reparameterised for production systems.
write_cost_factor_a3_per_org,1.35,model assumption,Normalised write overhead per participating organisation for replicated ledger-like evidence.,Transforms evidence objects and organisational multiplicity into normalised write-cost units for A3.,The factor captures replicated evidence-writing burden as a model assumption. It does not claim measured blockchain throughput or consensus cost.
