item_id,field_or_resource,accountability_question,boundary_class,portable_representation,source_custody_or_exclusion,cryptographic_binding,necessity_rationale,validation_evidence,claim_ceiling
HIE-B01,source_event_id,event identity,portable,opaque event token,not a patient identifier,issuer signature and receipt core digest,distinguishes the disputed disclosure from other events,HIE input schema; envelope schema; exact-byte check,declared event identity only
HIE-B02,evidence_id,evidence identity,portable,opaque evidence token,not an operational record identifier,issuer signature and receipt core digest,identifies the portable evidence statement,HIE envelope schema; deterministic case build,statement identifier only
HIE-B03,event_type,event identity,portable,controlled disclosure-event code,no free-text event description,issuer signature,selects the disclosure semantic branch,HIE input and envelope schemas,project vocabulary only
HIE-B04,occurred_at,temporal context,portable,normalised UTC millisecond timestamp,does not prove source-clock accuracy,issuer signature,anchors the declared event time,timestamp admission and ordering checks,declared timestamp only
HIE-B05,emitted_at,temporal context,portable,normalised UTC millisecond timestamp,does not prove transport time,issuer signature,distinguishes event time from evidence emission,time ordering and exact-byte checks,declared emission time only
HIE-B06,time_source,temporal context,portable,source token precision and maximum skew,no operational NTP configuration,issuer signature,makes timestamp comparison assumptions inspectable,schema and semantic checks,declared time-source metadata only
HIE-B07,source_organisation,organisational direction,portable,pseudonymous synthetic organisation token,legal name and operational identifiers excluded,issuer signature,identifies the issuing side of the disclosure,FHIR Organization and envelope parity,synthetic directionality only
HIE-B08,recipient_organisation,organisational direction,portable,pseudonymous synthetic organisation token,legal name and operational identifiers excluded,issuer signature,identifies the receiving side of the disclosure,FHIR Organization and disclosure AuditEvent parity,synthetic directionality only
HIE-B09,actor_ref_token,actor and purpose,portable,pseudonymous synthetic actor token,direct identity and credentials excluded,issuer signature,allows role-bound event correlation without naming a person,minimisation scan; FHIR Practitioner parity,pseudonymous role context only
HIE-B10,actor_role,actor and purpose,portable,authorised-reader role code,no professional-registration or identity-proofing data,issuer signature,states the role asserted for the disclosure,schema; PractitionerRole and AuditEvent checks,role assertion only
HIE-B11,purpose_code,actor and purpose,portable,treatment code,no free-text justification or legal ground,issuer signature,records the source system's declared purpose,schema and BALP-facing AuditEvent validation,declared purpose only
HIE-B12,outcome,event outcome,portable,controlled success code,no downstream clinical outcome,issuer signature,records the source system's declared processing result,schema and AuditEvent validation,recorded technical outcome only
HIE-B13,Consent reference,authorisation context,portable and referenced,typed Consent token and FHIR Consent reference,full patient-facing consent document remains under custody,issuer signature,connects the event to the asserted consent artefact,envelope/FHIR parity; validator positive case,reference does not establish legal sufficiency
HIE-B14,Consent version,authorisation context,portable,version 3,complete change history remains under source custody,issuer signature,prevents an unversioned consent assertion,schema; case manifest; parity checks,asserted version only
HIE-B15,Consent state,authorisation context,portable,active state,does not prove validity or scope interpretation,issuer signature,distinguishes state from decision and event outcome,schema; FHIR Consent derivative,recorded state only
